Output|H5 (00001)|H4 (00011)|H3 (00111)|H2 (01111)|H1 (11111)|[1] P_PSI|[1] P_PHI|[1] V_PSI|[1] V_PHI|[1] p_psi_psi|[1] p_phi_psi|[1] p_psi_phi|[1] p_phi_phi|[1] result|[1] P(result)|[1] H5|[1] H4|[1] H3|[1] H2|[1] H1|[2] P_PSI|[2] P_PHI|[2] V_PSI|[2] V_PHI|[2] p_psi_psi|[2] p_phi_psi|[2] p_psi_phi|[2] p_phi_phi|[2] result|[2] P(result)|[2] H5|[2] H4|[2] H3|[2] H2|[2] H1|[3] P_PSI|[3] P_PHI|[3] V_PSI|[3] V_PHI|[3] p_psi_psi|[3] p_phi_psi|[3] p_psi_phi|[3] p_phi_phi|[3] result|[3] P(result)|[3] H5|[3] H4|[3] H3|[3] H2|[3] H1|[4] P_PSI|[4] P_PHI|[4] V_PSI|[4] V_PHI|[4] p_psi_psi|[4] p_phi_psi|[4] p_psi_phi|[4] p_phi_phi|[4] result|[4] P(result)|[4] H5|[4] H4|[4] H3|[4] H2|[4] H1|[5] P_PSI|[5] P_PHI|[5] V_PSI|[5] V_PHI|[5] p_psi_psi|[5] p_phi_psi|[5] p_psi_phi|[5] p_phi_phi|[5] result|[5] P(result)|[5] H5|[5] H4|[5] H3|[5] H2|[5] H1
00001|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5120|0.2224|0.2224|0.2224|0.1827|0.1501|0.2224|0.2224|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4946|0.2469|0.2469|0.2028|0.1666|0.1369|0.2469|0.2469|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4752|0.2852|0.2343|0.1925|0.1581|0.1299|0.0000|0.2852|[-0.16547925 -0.98621327]|[-0.98621327  0.16547925]|0.0457|0.9543|0.0137|0.9863|Phi|0.9863|0.2852|0.2343|0.1925|0.1581|0.1299
00010||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5120|0.2224|0.2224|0.2224|0.1827|0.1501|0.2224|0.2224|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4946|0.2469|0.2469|0.2028|0.1666|0.1369|0.2469|0.2469|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5248|0.2122|0.2583|0.2122|0.1743|0.1432|0.0000|0.2583|[-0.18116373 -0.98345295]|[-0.98345295  0.18116373]|0.0525|0.9475|0.0176|0.9824|Psi|0.0176|0.2122|0.2583|0.2122|0.1743|0.1432
00011||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5120|0.2224|0.2224|0.2224|0.1827|0.1501|0.2224|0.2224|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4946|0.2469|0.2469|0.2028|0.1666|0.1369|0.2469|0.2469|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5248|0.2122|0.2583|0.2122|0.1743|0.1432|0.0000|0.2583|[-0.18116373 -0.98345295]|[-0.98345295  0.18116373]|0.0525|0.9475|0.0176|0.9824|Phi|0.9824|0.2122|0.2583|0.2122|0.1743|0.1432
00100|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5120|0.2224|0.2224|0.2224|0.1827|0.1501|0.2224|0.2224|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5054|0.1985|0.1985|0.2416|0.1985|0.1630|0.1985|0.2416|[-0.54719647 -0.8370042 ]|[-0.8370042   0.54719647]|0.3453|0.6547|0.2555|0.7445|Psi|0.2733|0.2507|0.1855|0.2258|0.1855|0.1524|0.0000|0.2507|[-0.18606898 -0.98253668]|[-0.98253668  0.18606898]|0.0548|0.9452|0.0189|0.9811|Psi|0.0189|0.2507|0.1855|0.2258|0.1855|0.1524
00101|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5120|0.2224|0.2224|0.2224|0.1827|0.1501|0.2224|0.2224|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5054|0.1985|0.1985|0.2416|0.1985|0.1630|0.1985|0.2416|[-0.54719647 -0.8370042 ]|[-0.8370042   0.54719647]|0.3453|0.6547|0.2555|0.7445|Psi|0.2733|0.2507|0.1855|0.2258|0.1855|0.1524|0.0000|0.2507|[-0.18606898 -0.98253668]|[-0.98253668  0.18606898]|0.0548|0.9452|0.0189|0.9811|Phi|0.9811|0.2507|0.1855|0.2258|0.1855|0.1524
00110|||X|||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5120|0.2224|0.2224|0.2224|0.1827|0.1501|0.2224|0.2224|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5054|0.1985|0.1985|0.2416|0.1985|0.1630|0.1985|0.2416|[-0.54719647 -0.8370042 ]|[-0.8370042   0.54719647]|0.3453|0.6547|0.2555|0.7445|Phi|0.7267|0.1788|0.2033|0.2475|0.2033|0.1670|0.0000|0.2475|[-0.1882258  -0.98212578]|[-0.98212578  0.1882258 ]|0.0558|0.9442|0.0195|0.9805|Psi|0.0195|0.1788|0.2033|0.2475|0.2033|0.1670
00111|||X|||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5120|0.2224|0.2224|0.2224|0.1827|0.1501|0.2224|0.2224|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5054|0.1985|0.1985|0.2416|0.1985|0.1630|0.1985|0.2416|[-0.54719647 -0.8370042 ]|[-0.8370042   0.54719647]|0.3453|0.6547|0.2555|0.7445|Phi|0.7267|0.1788|0.2033|0.2475|0.2033|0.1670|0.0000|0.2475|[-0.1882258  -0.98212578]|[-0.98212578  0.1882258 ]|0.0558|0.9442|0.0195|0.9805|Phi|0.9805|0.1788|0.2033|0.2475|0.2033|0.1670
01000|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.2956|0.2278|0.2278|0.1692|0.2060|0.1692|0.2278|0.2278|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4733|0.2642|0.2170|0.1613|0.1963|0.1613|0.0000|0.2642|[-0.17748117 -0.9841242 ]|[-0.9841242   0.17748117]|0.0509|0.9491|0.0166|0.9834|Psi|0.0166|0.2642|0.2170|0.1613|0.1963|0.1613
01001|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.2956|0.2278|0.2278|0.1692|0.2060|0.1692|0.2278|0.2278|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.4733|0.2642|0.2170|0.1613|0.1963|0.1613|0.0000|0.2642|[-0.17748117 -0.9841242 ]|[-0.9841242   0.17748117]|0.0509|0.9491|0.0166|0.9834|Phi|0.9834|0.2642|0.2170|0.1613|0.1963|0.1613
01010||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.2956|0.2278|0.2278|0.1692|0.2060|0.1692|0.2278|0.2278|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5267|0.1950|0.2374|0.1764|0.2147|0.1764|0.0000|0.2374|[-0.19535677 -0.98073224]|[-0.98073224  0.19535677]|0.0592|0.9408|0.0216|0.9784|Psi|0.0216|0.1950|0.2374|0.1764|0.2147|0.1764
01011||X||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Psi|0.2956|0.2278|0.2278|0.1692|0.2060|0.1692|0.2278|0.2278|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.5267|0.1950|0.2374|0.1764|0.2147|0.1764|0.0000|0.2374|[-0.19535677 -0.98073224]|[-0.98073224  0.19535677]|0.0592|0.9408|0.0216|0.9784|Phi|0.9784|0.1950|0.2374|0.1764|0.2147|0.1764
01100|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.7044|0.1765|0.1765|0.2011|0.2448|0.2011|0.1765|0.2448|[-0.46385695 -0.88591012]|[-0.88591012  0.46385695]|0.2568|0.7432|0.1763|0.8237|Psi|0.1905|0.2380|0.1633|0.1861|0.2265|0.1861|0.0000|0.2380|[-0.19493155 -0.98081685]|[-0.98081685  0.19493155]|0.0590|0.9410|0.0215|0.9785|Psi|0.0215|0.2380|0.1633|0.1861|0.2265|0.1861
01101|X|||||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.7044|0.1765|0.1765|0.2011|0.2448|0.2011|0.1765|0.2448|[-0.46385695 -0.88591012]|[-0.88591012  0.46385695]|0.2568|0.7432|0.1763|0.8237|Psi|0.1905|0.2380|0.1633|0.1861|0.2265|0.1861|0.0000|0.2380|[-0.19493155 -0.98081685]|[-0.98081685  0.19493155]|0.0590|0.9410|0.0215|0.9785|Phi|0.9785|0.2380|0.1633|0.1861|0.2265|0.1861
01110||||X||0.2000|0.2000|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Psi|0.5294|0.2074|0.2074|0.2074|0.2074|0.1704|0.2074|0.2074|[0.70710678 0.70710678]|[-0.70710678  0.70710678]|0.5490|0.4510|0.4510|0.5490|Phi|0.4880|0.1917|0.1917|0.1917|0.2333|0.1917|0.1917|0.2333|[-0.55247673 -0.83352832]|[-0.83352832  0.55247673]|0.3513|0.6487|0.2610|0.7390|Phi|0.7044|0.1765|0.1765|0.2011|0.2448|0.2011|0.1765|0.2448|[-0.46385695 -0.88591012]|[-0.88591012  0.46385695]|0.2568|0.7432|0.1763|0.8237|Phi|0.8095|0.1621|0.1796|0.2046|0.2491|0.2046|0.0000|0.2491|[-0.18716005 -0.98232943]|[-0.98232943  0.18716005]|0.0553|0.9447|0.0192|0.9808|Psi|0.0192|0.1621|0.1796|0.2046|0.2491|0.2046
